Curation,Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop,Trait ID,Trait name,Trait class,Trait description,Trait synonyms,Main trait abbreviation,Alternative trait abbreviations,Entity,Attribute,Trait status,Trait Xref,Method ID,Method name,Method class,Method description,Formula,Method reference,Scale ID,Scale name,Scale class,Decimal places,Lower limit,Upper limit,Scale Xref,Category 1,Category 2,Category 3,Category 4,Category 5,Category 6,Category 7,Category 8,Category 9,Category 10
,CO_365:0000126,SProtC_M_pct,,Trial evaluation,,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000009,Seed protein content,Quality trait,The seed protein content.,,SProtC,,Seed,Protein content,,,CO_365:0000125,Seed protein content - Measurement,Measurement,Measured on seed using the standard protocol.,,,CO_365:0000082,%,Numerical,,0,50,,,,,,,,,,,
,CO_365:0000128,PNC_C_M_pct,,Trial evaluation,,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000010,Plant nitrogen content,Physiological trait,The plant nitrogen content.,,PNC,,Plant,Nitrogen content,,,CO_365:0000127,Plant nitrogen content - Measurement,Measurement,Measured on plant using the standard protocol.,,,CO_365:0000082,%,Numerical,,0,50,,,,,,,,,,,
,CO_365:0000130,PdShatt_E_0to1,NSHPP,Characterization,,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000011,Pod shattering,Agronomical trait,The shattering of pods.,,PdShatt,,Pod,Shattering,,,CO_365:0000129,Pod shattering - Estimation,Estimation,Observe pod shattering on standing plants.,,,CO_365:0000083,0-1 Shattering scale,Ordinal,,,,,1= Shattering,0= Non-shattering,,,,,,,,
,CO_365:0000132,SShatt_E_0to1,NSHSP,Trial evaluation,,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000012,Seed shattering,Agronomical trait,The shattering of seeds.,,SShatt,,Seed,Shattering,,,CO_365:0000131,Seed shattering - Estimation,Estimation,Observe shattering as seeds falling from pods on standing plants.,,,CO_365:0000083,0-1 Shattering scale,Ordinal,,,,,1= Shattering,0= Non-shattering,,,,,,,,
,CO_365:0000134,VegMetSus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000018,Metribuzin susceptibility at vegetative stage,Physiological trait,The susceptibility to herbicide Metribuzin at vegetative stage.,,VegMetSus,,Plant,Metribuzin susceptibility at vegetative stage.,,,CO_365:0000133,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000136,FlwMetSus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000019,Metribuzin susceptibility at flowering stage,Physiological trait,The susceptibility to herbicide Metribuzin at flowering stage.,,FlwMetSus,,Plant,Metribuzin susceptibility at flowering stage.,,,CO_365:0000135,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000138,VegImizSus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000020,Imizathapyr susceptibility at vegetative stage,Physiological trait,The susceptibility to herbicide Imizathapyr at vegetative stage.,,VegImizSus,,Plant,Imizathapyr susceptibility at vegetative stage.,,,CO_365:0000137,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000140,FlwImizSus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000021,Imizathapyr susceptibility at flowering stage,Physiological trait,The susceptibility to herbicide Imizathapyr at flowering stage.,,FlwImizSus,,Plant,Imizathapyr susceptibility at flowering stage.,,,CO_365:0000139,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000142,VegGlySus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000022,Glyphosate susceptibility at vegetative stage,Physiological trait,The susceptibility to herbicide Glyphosate at vegetative stage.,,VegGlySus,,Plant,Glyphosate susceptibility at vegetative stage.,,,CO_365:0000141,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000144,FlwGlySus_E_1to5,,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000023,Glyphosate susceptibility at flowering stage,Physiological trait,The susceptibility to herbicide Glyphosate at flowering stage.,,FlwGlySus,,Plant,Glyphosate susceptibility at flowering stage.,,,CO_365:0000143,Herbicide susceptibility - Estimation,Estimation,"Observe the plant susceptibility to herbicide, and rate it from tolerant/resistant to susceptible.",,,CO_365:0000084,1-5 Susceptibility general scale,Ordinal,,,,,1= No visible damage,4= Susceptible,5= Highly susceptible,2= Tolerant,3= Moderately tolerant,,,,,
,CO_365:0000146,ABLSev_E_1to9,ABL,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000004,Ascochyta blight severity,Biotic stress trait,The severity of Ascochyta blight caused by the agent Ascochyta fabae.,,ABLSev,,Plant,Ascochyta blight severity,,,CO_365:0000145,Ascochyta blight severity - Estimation,Estimation,"Observe the severity of Ascochyta blight, and rate it.",,,CO_365:0000085,1-9 Ascochyta blight severity scale,Ordinal,,,,,1= No disease visible on any plant (highly resistant),4= between 3 and 5,"5= Lesions visible on up to 25% of the plants, stem girdling on less than 10% of the plants but little damage (tolerant)",2= between 1 and 3,"3= Lesions visible on less than 10% of the plants, no stem girdling (resistant)",8= between 7 and 9,"9= Lesions profuse on all plants, stem girdling present on more than 50% of the plants and death of most plants (highly susceptible).",6= between 5 and 7,"7= Lesions present on most plants, stem girdling on less than 50% of the plants, resulting in the death of a few plants and causing considerable damage (susceptible)",
,CO_365:0000148,ABLSev_E_1to9_T1,ABL1,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000004,Ascochyta blight severity,Biotic stress trait,The severity of Ascochyta blight caused by the agent Ascochyta fabae.,,ABLSev,,Plant,Ascochyta blight severity,,,CO_365:0000147,Ascochyta blight severity - Estimation - T1,Estimation,"Observe the severity of Ascochyta blight, and rate it.",,,CO_365:0000085,1-9 Ascochyta blight severity scale,Ordinal,,,,,1= No disease visible on any plant (highly resistant),4= between 3 and 5,"5= Lesions visible on up to 25% of the plants, stem girdling on less than 10% of the plants but little damage (tolerant)",2= between 1 and 3,"3= Lesions visible on less than 10% of the plants, no stem girdling (resistant)",8= between 7 and 9,"9= Lesions profuse on all plants, stem girdling present on more than 50% of the plants and death of most plants (highly susceptible).",6= between 5 and 7,"7= Lesions present on most plants, stem girdling on less than 50% of the plants, resulting in the death of a few plants and causing considerable damage (susceptible)",
,CO_365:0000150,ABLSev_E_1to9_T2,ABL2,"Nursery evaluation, Trial evaluation",,,,"ICARDA, IBP","Fouad Maalouf, Julian Pietragalla",15-Dec-2017,EN,Faba bean,CO_365:0000004,Ascochyta blight severity,Biotic stress trait,The severity of Ascochyta blight caused by the agent Ascochyta fabae.,,ABLSev,,Plant,Ascochyta blight severity,,,CO_365:0000149,Ascochyta blight severity - Estimation - T2,Estimation,"Observe the severity of Ascochyta blight, and rate it.",,,CO_365:0000085,1-9 Ascochyta blight severity scale,Ordinal,,,,,1= No disease visible on any plant (highly resistant),4= between 3 and 5,"5= Lesions visible on up to 25% of the plants, stem girdling on less than 10% of the plants but little damage (tolerant)",2= between 1 and 3,"3= Lesions visible on less than 10% of the plants, no stem girdling (resistant)",8= between 7 and 9,"9= Lesions profuse on all plants, stem girdling present on more than 50% of the plants and death of most plants (highly susceptible).",6= between 5 and 7,"7= Lesions present on most plants, stem girdling on less than 50% of the plants, resulting in the death of a few plants and causing considerable damage (susceptible)",
